Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,6.140000,6.470000,6.070000,6.310000,6.310000,4453600
2020-01-03,6.210000,6.250000,5.840000,5.880000,5.880000,3543900
2020-01-06,5.800000,5.910000,5.600000,5.850000,5.850000,3394800
2020-01-07,5.770000,5.830000,5.440000,5.520000,5.520000,5228000
2020-01-08,5.490000,5.850000,5.410000,5.720000,5.720000,5629400
2020-01-09,5.820000,5.820000,5.480000,5.550000,5.550000,2643000
2020-01-10,5.560000,5.600000,5.380000,5.430000,5.430000,2781400
2020-01-13,5.430000,5.610000,5.330000,5.430000,5.430000,3625200
2020-01-14,4.780000,5.000000,4.530000,4.710000,4.710000,12561900
2020-01-15,4.660000,4.730000,4.550000,4.610000,4.610000,4981100
2020-01-16,4.610000,4.710000,4.520000,4.620000,4.620000,4287100
2020-01-17,4.580000,4.750000,4.510000,4.750000,4.750000,4019500
2020-01-21,4.750000,4.750000,4.550000,4.590000,4.590000,3532100
2020-01-22,4.550000,4.640000,4.460000,4.560000,4.560000,2627500
2020-01-23,4.550000,4.640000,4.460000,4.620000,4.620000,1880200
2020-01-24,4.640000,4.640000,4.250000,4.320000,4.320000,4163600
2020-01-27,4.200000,4.350000,4.160000,4.280000,4.280000,2122500
2020-01-28,4.300000,4.300000,4.180000,4.210000,4.210000,2144900
2020-01-29,4.220000,4.320000,4.130000,4.130000,4.130000,1552600
2020-01-30,4.100000,4.120000,3.880000,3.930000,3.930000,3006500
2020-01-31,3.910000,3.940000,3.830000,3.840000,3.840000,2891700
2020-02-03,3.880000,3.980000,3.850000,3.950000,3.950000,2025600
2020-02-04,4.030000,4.250000,3.970000,4.070000,4.070000,3563100
2020-02-05,4.150000,4.410000,4.140000,4.180000,4.180000,2641700
2020-02-06,4.200000,4.300000,4.140000,4.140000,4.140000,1510300
2020-02-07,4.110000,4.130000,3.770000,3.810000,3.810000,2742300
2020-02-10,3.850000,4.100000,3.740000,3.940000,3.940000,2777000
2020-02-11,3.980000,4.240000,3.950000,4.020000,4.020000,3415000
2020-02-12,4.130000,4.510000,4.070000,4.190000,4.190000,4820600
2020-02-13,4.120000,4.260000,4.070000,4.110000,4.110000,2081700
2020-02-14,4.110000,4.190000,4.020000,4.020000,4.020000,1582700
2020-02-18,4.010000,4.080000,3.960000,4.060000,4.060000,1467600
2020-02-19,4.060000,4.270000,3.920000,4.150000,4.150000,2593100
2020-02-20,4.160000,4.300000,4.110000,4.140000,4.140000,1562300
2020-02-21,4.120000,4.180000,3.990000,4.040000,4.040000,1695700
2020-02-24,3.900000,3.930000,3.700000,3.700000,3.700000,3566300
2020-02-25,3.770000,3.790000,3.550000,3.560000,3.560000,4447900
2020-02-26,3.580000,3.620000,3.360000,3.390000,3.390000,4724800
2020-02-27,3.230000,3.630000,3.180000,3.470000,3.470000,3879500
2020-02-28,3.340000,3.720000,3.340000,3.600000,3.600000,4692200
2020-03-02,3.600000,3.850000,3.390000,3.830000,3.830000,3208400
2020-03-03,3.880000,3.890000,3.500000,3.630000,3.630000,4282500
2020-03-04,3.710000,3.830000,3.460000,3.770000,3.770000,4257600
2020-03-05,3.700000,3.990000,3.590000,3.960000,3.960000,3599400
2020-03-06,3.840000,4.070000,3.760000,3.920000,3.920000,2096800
2020-03-09,3.590000,3.970000,3.500000,3.700000,3.700000,2732000
2020-03-10,3.940000,4.260000,3.800000,4.230000,4.230000,4863200
2020-03-11,4.140000,4.250000,4.000000,4.140000,4.140000,4414100
2020-03-12,3.700000,4.040000,3.480000,3.980000,3.980000,5123400
2020-03-13,4.130000,4.650000,3.850000,4.590000,4.590000,5787200
2020-03-16,3.930000,4.570000,3.900000,4.370000,4.370000,4866700
2020-03-17,4.400000,4.650000,4.110000,4.230000,4.230000,3562200
2020-03-18,4.100000,4.250000,3.500000,3.770000,3.770000,3651700
2020-03-19,3.710000,4.200000,3.550000,4.190000,4.190000,5039500
2020-03-20,4.080000,4.080000,3.650000,3.760000,3.760000,7722200
2020-03-23,3.580000,3.860000,3.500000,3.810000,3.810000,6009800
